scorer,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000,DLC_resnet50_Lindoscope_23Aug18shuffle1_650000
bodyparts,Fiber,Fiber,Fiber,Nose,Nose,Nose,Head,Head,Head,Spine,Spine,Spine,TB,TB,TB,LS,LS,LS,RS,RS,RS
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,466.2994385,99.79768372,0.997557163,467.4127197,169.56633,0.968929172,479.281311,152.9674835,0.999978662,491.275238,133.4241486,0.999999404,497.0278015,120.2976074,0.999999881,500.2623596,143.4953003,0.999999404,477.5990906,135.8369751,0.99999547
1,466.265625,99.79768372,0.999506354,467.4361267,168.634491,0.99890244,479.281311,152.1638641,0.999995351,491.275238,133.4241486,0.999999642,497.2119141,120.48983,0.999999881,500.5810547,143.4953003,0.99999845,478.2625732,135.7812042,0.999996305
2,465.4150085,99.79768372,0.99995935,468.2216797,167.0379791,0.980780542,479.1948853,151.7980957,0.999978304,491.4448242,132.9342194,0.999999642,497.552887,120.48983,0.999999881,500.5810547,143.4701233,0.999998569,478.2868042,134.8552551,0.999995232
3,464.5179749,100.1359482,0.999867797,469.0133972,165.7497101,0.999405146,479.1948853,150.7311096,0.999998689,491.6282349,132.7359619,0.999999642,497.8224182,120.48983,0.999999881,500.3355103,143.5181122,0.999996185,478.2868042,134.8186188,0.999993324
4,462.6973572,101.1858444,0.999934196,469.0133972,164.7164459,0.991408765,479.1948853,150.5797577,0.999973893,491.8008423,132.0886993,0.999999642,498.3957825,120.4307861,0.999999881,500.3355103,143.5181122,0.999998689,478.2868042,133.8793488,0.999992967
5,461.4169617,101.6383133,0.999950647,469.0133972,164.4751587,0.993308425,479.1948853,150.5648193,0.999982953,491.8008423,132.0663452,0.999999642,498.3957825,120.4070587,0.999999881,500.2199402,143.5181122,0.999998689,478.2868042,133.2656555,0.999996543
6,461.4169617,101.1858444,0.999911547,468.145752,164.2095337,0.999704063,479.5137024,149.9559631,0.999999642,491.8008423,131.9773254,0.999999642,498.3957825,120.0567245,0.999999881,500.2078552,143.5181122,0.999993443,478.2868042,132.9636841,0.99999392
7,461.4169617,101.1858444,0.999910355,468.145752,163.5029907,0.993358672,479.8733826,147.9849701,0.999987364,491.8798523,131.2570038,0.999999762,498.4880981,119.8902206,0.999999881,500.2078552,143.5181122,0.999999046,478.7471313,132.6672516,0.999998569
8,466.6164246,99.41184235,0.999846101,468.145752,160.9693146,0.999664664,479.9715576,147.6323853,0.999998927,493.224823,130.7966003,0.999999404,498.4880981,119.4476624,0.999999881,500.2078552,143.1404877,0.999996305,479.9873962,131.0055237,0.999995112
9,466.6164246,95.00835419,0.999349415,468.4076233,160.7116394,0.997720897,480.1452026,147.3819427,0.999980569,493.3093262,130.1283569,0.999999523,498.7731628,118.9778595,0.999999762,501.3323364,142.5293121,0.999998569,480.5567322,132.1994934,0.999997139
10,466.6164246,95.00835419,0.997341692,468.4076233,160.7030334,0.999711812,479.9715576,147.3819427,0.999994755,494.1116943,130.0935822,0.999998569,499.3823853,118.6800079,0.999999881,501.3536682,141.2421265,0.99999547,480.8118896,131.8863068,0.99998641
11,465.8024292,95.00835419,0.998906612,468.4076233,160.4746399,0.997051358,479.8733826,147.3819427,0.999983549,494.1116943,130.0935822,0.999999285,499.3823853,118.2540894,0.999999881,502.1365356,141.2421265,0.999996543,481.0194092,131.8863068,0.999995351
12,465.0137939,108.1270828,0.996882439,466.1869202,160.4746399,0.993138969,479.7800293,147.3819427,0.999962568,494.1116943,130.0935822,0.999999166,499.5314636,118.1526642,1,502.3509521,142.182251,0.999996424,481.0194092,131.8863068,0.999998569
13,460.0917969,109.0998077,0.998502374,463.6398315,160.7116394,0.999585569,479.6414795,147.4805298,0.999999404,493.8856506,130.1646729,0.999999166,499.5314636,117.9921112,1,502.3509521,142.182251,0.999990821,480.5567322,132.1994934,0.999995708
14,457.052124,165.3303528,0.997534752,458.3233032,161.504303,0.99370122,477.1158142,150.0501251,0.999976158,493.4793701,131.0932007,0.999999285,499.7034607,117.9921112,1,502.1365356,143.254364,0.999996543,478.8392639,132.4781036,0.999999642
15,440.711792,165.3303528,0.999580324,457.2708435,164.3741913,0.999999404,469.3935242,151.8287811,0.999997139,490.781189,133.042572,0.999998689,499.7625732,117.9921112,1,499.8274231,143.4967651,0.999981523,475.2939758,134.2173004,0.999997139
16,436.3857117,179.3938599,0.999944091,455.4016113,165.515625,0.999996901,468.7713318,152.7614594,0.999995828,489.8276672,134.0014191,0.99999845,499.7034607,119.5215759,1,498.5190125,145.4030457,0.999994755,473.0619812,136.2304993,0.999995947
17,429.710022,182.2285767,0.999678373,451.7421875,166.1187744,0.999979854,465.3817444,156.2051086,0.999990821,487.4581604,135.2316589,0.999994516,499.7034607,121.2726059,0.999999881,495.8486938,146.7739258,0.999986768,472.0168762,136.2471008,0.999985456
18,429.710022,189.4660187,0.992609799,447.1488647,170.207489,0.999990344,460.12323,157.6808929,0.999998212,485.5211792,138.4584351,0.999998093,498.0053101,124.8100967,1,490.3764343,152.8588715,0.99995935,471.5444946,136.5059052,0.999949813
19,429.710022,189.4660187,0.923208058,443.3749084,171.6756287,0.999988079,457.7668152,160.5111694,0.999995708,484.1917725,140.6724854,0.999999166,496.9789734,128.3186646,0.999999762,488.1185913,155.9796906,0.999990225,470.108551,138.4974518,0.999988317
20,430.0035095,189.4660187,0.907764792,439.7908325,173.6808014,0.999995947,453.8737793,160.8139496,0.999996781,482.0748291,142.3621826,0.999997854,496.5031738,129.5504608,0.999999881,484.8996887,157.6599579,0.999995947,469.8148804,138.6359558,0.999991298
21,430.0035095,192.934021,0.996299446,439.2109985,174.8192902,0.999993682,451.4191895,160.9341736,0.999998689,478.5445862,144.7901306,0.999995112,493.6032715,131.6015472,0.999999762,481.2588806,158.9584656,0.999974608,467.0669556,140.8412323,0.999985814
22,430.0035095,192.934021,0.992853582,435.7068176,176.6233215,0.999976635,448.6929932,166.1688385,0.999984145,472.9081116,146.7527008,0.999999404,486.8490601,133.1116638,0.999999523,477.6148376,159.2792358,0.99999547,458.7085571,142.7924805,0.999987245
23,428.0749207,207.8291931,0.956835151,433.7533875,178.491806,0.999985456,447.2781372,167.2487793,0.999999523,470.8012695,146.9603271,0.999997377,485.4012146,133.3961334,0.999999881,475.1938171,161.0592346,0.999996066,456.4057922,143.241806,0.999988317
